county,district,candidate,votes
Clark,Seventh Judicial District,Jon J. Shindurling,239
Clark,Seventh Judicial District,Darren B. Simpson,238
Clark,Seventh Judicial District,Jeol E. Tingey,238
Custer,Seventh Judicial District,"Dane Hansen Watkins, Jr.",810
Custer,Seventh Judicial District,Gregory W. Moeller,803
Custer,Seventh Judicial District,Jon J. Shindurling,820
Custer,Seventh Judicial District,Darren B. Simpson,818
Custer,Seventh Judicial District,Jeol E. Tingey,814
Fremont,Seventh Judicial District,"Dane Hansen Watkins, Jr.",2335
Fremont,Seventh Judicial District,Gregory W. Moeller,2407
Fremont,Seventh Judicial District,Jon J. Shindurling,2258
Fremont,Seventh Judicial District,Darren B. Simpson,2368
Fremont,Seventh Judicial District,Jeol E. Tingey,2300
Jefferson,Seventh Judicial District,"Dane Hansen Watkins, Jr.",3120
Jefferson,Seventh Judicial District,Gregory W. Moeller,3134
Jefferson,Seventh Judicial District,Jon J. Shindurling,3129
Jefferson,Seventh Judicial District,Darren B. Simpson,3105
Jefferson,Seventh Judicial District,Jeol E. Tingey,3083
Lemhi,Seventh Judicial District,"Dane Hansen Watkins, Jr.",1379
Lemhi,Seventh Judicial District,Gregory W. Moeller,1310
Lemhi,Seventh Judicial District,Jon J. Shindurling,1356
Lemhi,Seventh Judicial District,Darren B. Simpson,1342
Lemhi,Seventh Judicial District,Jeol E. Tingey,1360
Madison,Seventh Judicial District,"Dane Hansen Watkins, Jr.",3834
Madison,Seventh Judicial District,Gregory W. Moeller,4054
Madison,Seventh Judicial District,Jon J. Shindurling,3750
Madison,Seventh Judicial District,Darren B. Simpson,3850
Madison,Seventh Judicial District,Jeol E. Tingey,3824
Teton,Seventh Judicial District,"Dane Hansen Watkins, Jr.",1226
Teton,Seventh Judicial District,Gregory W. Moeller,1234
Teton,Seventh Judicial District,Jon J. Shindurling,1229
Teton,Seventh Judicial District,Darren B. Simpson,1270
Teton,Seventh Judicial District,Jeol E. Tingey,1224
Benewah,First Judicial District,Fred M. Gibler,814
Benewah,First Judicial District,Charles W. Hosack,784
Benewah,First Judicial District,John Patrick Luster,777
Benewah,First Judicial District,Rami Amaro,490
Benewah,First Judicial District,John T. Mitchell,710
Benewah,First Judicial District,Steven C. Verby,782
Bonner,First Judicial District,Fred M. Gibler,3617
Bonner,First Judicial District,Charles W. Hosack,3715
Bonner,First Judicial District,John Patrick Luster,3635
Bonner,First Judicial District,Rami Amaro,1614
Bonner,First Judicial District,John T. Mitchell,3086
Bonner,First Judicial District,Steven C. Verby,4110
Boundary,First Judicial District,Fred M. Gibler,754
Boundary,First Judicial District,Charles W. Hosack,783
Boundary,First Judicial District,John Patrick Luster,764
Boundary,First Judicial District,Rami Amaro,395
Boundary,First Judicial District,John T. Mitchell,699
Boundary,First Judicial District,Steven C. Verby,815
Kootenai,First Judicial District,Fred M. Gibler,11415
Kootenai,First Judicial District,Charles W. Hosack,11456
Kootenai,First Judicial District,John Patrick Luster,11453
Kootenai,First Judicial District,Rami Amaro,5016
Kootenai,First Judicial District,John T. Mitchell,9599
Kootenai,First Judicial District,Steven C. Verby,11394
Shoshone,First Judicial District,Fred M. Gibler,1534
Shoshone,First Judicial District,Charles W. Hosack,1348
Shoshone,First Judicial District,John Patrick Luster,1317
Shoshone,First Judicial District,Rami Amaro,560
Shoshone,First Judicial District,John T. Mitchell,1043
Shoshone,First Judicial District,Steven C. Verby,1388
Clearwater,Second Judicial District,John Bradbury,821
Clearwater,Second Judicial District,Jeff M. Brudie,689
Clearwater,Second Judicial District,Carl B. Kerrick,709
Clearwater,Second Judicial District,John R. Stegner,708
Idaho,Second Judicial District,John Bradbury,2199
Idaho,Second Judicial District,Jeff M. Brudie,1840
Idaho,Second Judicial District,Carl B. Kerrick,1845
Idaho,Second Judicial District,John R. Stegner,2118
Latah,Second Judicial District,John Bradbury,1605
Latah,Second Judicial District,Jeff M. Brudie,1585
Latah,Second Judicial District,Carl B. Kerrick,1568
Latah,Second Judicial District,John R. Stegner,1718
Lewis,Second Judicial District,John Bradbury,616
Lewis,Second Judicial District,Jeff M. Brudie,513
Lewis,Second Judicial District,Carl B. Kerrick,500
Lewis,Second Judicial District,John R. Stegner,555
Nez Perce,Second Judicial District,John Bradbury,2033
Nez Perce,Second Judicial District,Jeff M. Brudie,1974
Nez Perce,Second Judicial District,Carl B. Kerrick,1966
Nez Perce,Second Judicial District,John R. Stegner,2004
Adams,Third Judicial District,Gregory M. Culet,768
Adams,Third Judicial District,Stephen W. Drescher,741
Adams,Third Judicial District,Renae J. Hoff,741
Adams,Third Judicial District,Juneal C. Kerrick,727
Adams,Third Judicial District,James C. Morfitt,741
Canyon,Third Judicial District,Gregory M. Culet,11354
Canyon,Third Judicial District,Stephen W. Drescher,11422
Canyon,Third Judicial District,Renae J. Hoff,11524
Canyon,Third Judicial District,Juneal C. Kerrick,11647
Canyon,Third Judicial District,James C. Morfitt,11504
Gem,Third Judicial District,Gregory M. Culet,1825
Gem,Third Judicial District,Stephen W. Drescher,1838
Gem,Third Judicial District,Renae J. Hoff,1856
Gem,Third Judicial District,Juneal C. Kerrick,1800
Gem,Third Judicial District,James C. Morfitt,1814
Owyhee,Third Judicial District,Gregory M. Culet,1021
Owyhee,Third Judicial District,Stephen W. Drescher,996
Owyhee,Third Judicial District,Renae J. Hoff,1060
Owyhee,Third Judicial District,Juneal C. Kerrick,1043
Owyhee,Third Judicial District,James C. Morfitt,1113
Payette,Third Judicial District,Gregory M. Culet,1424
Payette,Third Judicial District,Stephen W. Drescher,1455
Payette,Third Judicial District,Renae J. Hoff,1452
Payette,Third Judicial District,Juneal C. Kerrick,1449
Payette,Third Judicial District,James C. Morfitt,1451
Washington,Third Judicial District,Gregory M. Culet,1512
Washington,Third Judicial District,Stephen W. Drescher,1321
Washington,Third Judicial District,Renae J. Hoff,1262
Washington,Third Judicial District,Juneal C. Kerrick,1284
Washington,Third Judicial District,James C. Morfitt,1276
Ada,Fourth Judicial District,Deborah A. Bail,21824
Ada,Fourth Judicial District,Cheri C. Copsey,21184
Ada,Fourth Judicial District,Joel D. Horton,20787
Ada,Fourth Judicial District,Michael R. McLaughlin,20849
Ada,Fourth Judicial District,Thomas F. Neville,21338
Ada,Fourth Judicial District,Kathryn A. Sticklen,21063
Ada,Fourth Judicial District,Mike Wetherell,21811
Ada,Fourth Judicial District,Darla Sue Williamson,21051
Ada,Fourth Judicial District,Ronald J. Wilper,20719
Boise,Fourth Judicial District,Deborah A. Bail,1067
Boise,Fourth Judicial District,Cheri C. Copsey,1052
Boise,Fourth Judicial District,Joel D. Horton,1030
Boise,Fourth Judicial District,Michael R. McLaughlin,1016
Boise,Fourth Judicial District,Thomas F. Neville,1001
Boise,Fourth Judicial District,Kathryn A. Sticklen,1085
Boise,Fourth Judicial District,Mike Wetherell,1055
Boise,Fourth Judicial District,Darla Sue Williamson,1039
Boise,Fourth Judicial District,Ronald J. Wilper,967
Elmore,Fourth Judicial District,Deborah A. Bail,1452
Elmore,Fourth Judicial District,Cheri C. Copsey,1460
Elmore,Fourth Judicial District,Joel D. Horton,1420
Elmore,Fourth Judicial District,Michael R. McLaughlin,1608
Elmore,Fourth Judicial District,Thomas F. Neville,1372
Elmore,Fourth Judicial District,Kathryn A. Sticklen,1401
Elmore,Fourth Judicial District,Mike Wetherell,1623
Elmore,Fourth Judicial District,Darla Sue Williamson,1434
Elmore,Fourth Judicial District,Ronald J. Wilper,1403
Valley,Fourth Judicial District,Deborah A. Bail,1392
Valley,Fourth Judicial District,Cheri C. Copsey,1370
Valley,Fourth Judicial District,Joel D. Horton,1345
Valley,Fourth Judicial District,Michael R. McLaughlin,1347
Valley,Fourth Judicial District,Thomas F. Neville,1339
Valley,Fourth Judicial District,Kathryn A. Sticklen,1354
Valley,Fourth Judicial District,Mike Wetherell,1383
Valley,Fourth Judicial District,Darla Sue Williamson,1519
Valley,Fourth Judicial District,Ronald J. Wilper,1336
Blaine,Fifth Judicial District,G. Richard Bevan,989
Blaine,Fifth Judicial District,John K. Butler,975
Blaine,Fifth Judicial District,Monte B. Carlson,967
Blaine,Fifth Judicial District,Robert J. Elgee,1273
Blaine,Fifth Judicial District,John C. Hohnhorst,990
Blaine,Fifth Judicial District,John M. Melanson,966
Blaine,Fifth Judicial District,Roderick Barry Wood,1038
Camas,Fifth Judicial District,G. Richard Bevan,102
Camas,Fifth Judicial District,John K. Butler,101
Camas,Fifth Judicial District,Monte B. Carlson,97
Camas,Fifth Judicial District,Robert J. Elgee,108
Camas,Fifth Judicial District,John C. Hohnhorst,110
Camas,Fifth Judicial District,John M. Melanson,99
Camas,Fifth Judicial District,Roderick Barry Wood,105
Cassia,Fifth Judicial District,G. Richard Bevan,2221
Cassia,Fifth Judicial District,John K. Butler,2183
Cassia,Fifth Judicial District,Monte B. Carlson,2447
Cassia,Fifth Judicial District,Robert J. Elgee,2169
Cassia,Fifth Judicial District,John C. Hohnhorst,2219
Cassia,Fifth Judicial District,John M. Melanson,2183
Cassia,Fifth Judicial District,Roderick Barry Wood,2260
Gooding,Fifth Judicial District,G. Richard Bevan,1328
Gooding,Fifth Judicial District,John K. Butler,1283
Gooding,Fifth Judicial District,Monte B. Carlson,1273
Gooding,Fifth Judicial District,Robert J. Elgee,1255
Gooding,Fifth Judicial District,John C. Hohnhorst,1371
Gooding,Fifth Judicial District,John M. Melanson,1260
Gooding,Fifth Judicial District,Roderick Barry Wood,1408
Jerome,Fifth Judicial District,G. Richard Bevan,1191
Jerome,Fifth Judicial District,John K. Butler,1162
Jerome,Fifth Judicial District,Monte B. Carlson,1180
Jerome,Fifth Judicial District,Robert J. Elgee,1150
Jerome,Fifth Judicial District,John C. Hohnhorst,1240
Jerome,Fifth Judicial District,John M. Melanson,1151
Jerome,Fifth Judicial District,Roderick Barry Wood,1214
Lincoln,Fifth Judicial District,G. Richard Bevan,543
Lincoln,Fifth Judicial District,John K. Butler,533
Lincoln,Fifth Judicial District,Monte B. Carlson,528
Lincoln,Fifth Judicial District,Robert J. Elgee,519
Lincoln,Fifth Judicial District,John C. Hohnhorst,556
Lincoln,Fifth Judicial District,John M. Melanson,559
Lincoln,Fifth Judicial District,Roderick Barry Wood,631
Minidoka,Fifth Judicial District,G. Richard Bevan,1070
Minidoka,Fifth Judicial District,John K. Butler,1052
Minidoka,Fifth Judicial District,Monte B. Carlson,1136
Minidoka,Fifth Judicial District,Robert J. Elgee,1032
Minidoka,Fifth Judicial District,John C. Hohnhorst,1075
Minidoka,Fifth Judicial District,John M. Melanson,1074
Minidoka,Fifth Judicial District,Roderick Barry Wood,1129
Twin Falls,Fifth Judicial District,G. Richard Bevan,6979
Twin Falls,Fifth Judicial District,John K. Butler,6351
Twin Falls,Fifth Judicial District,Monte B. Carlson,6420
Twin Falls,Fifth Judicial District,Robert J. Elgee,5940
Twin Falls,Fifth Judicial District,John C. Hohnhorst,6777
Twin Falls,Fifth Judicial District,John M. Melanson,6399
Twin Falls,Fifth Judicial District,Roderick Barry Wood,6155
Bannock,Sixth Judicial District,Ronald E. Bush,5063
Bannock,Sixth Judicial District,Don L. Harding,5041
Bannock,Sixth Judicial District,Peter D. McDermott,5311
Bannock,Sixth Judicial District,N. Randy Smith,5329
Bear Lake,Sixth Judicial District,Ronald E. Bush,980
Bear Lake,Sixth Judicial District,Don L. Harding,1225
Bear Lake,Sixth Judicial District,Peter D. McDermott,1124
Bear Lake,Sixth Judicial District,N. Randy Smith,1013
Caribou,Sixth Judicial District,Ronald E. Bush,1063
Caribou,Sixth Judicial District,Don L. Harding,1275
Caribou,Sixth Judicial District,Peter D. McDermott,1113
Caribou,Sixth Judicial District,N. Randy Smith,1168
Franklin,Sixth Judicial District,Ronald E. Bush,1056
Franklin,Sixth Judicial District,Don L. Harding,1141
Franklin,Sixth Judicial District,Peter D. McDermott,1084
Franklin,Sixth Judicial District,N. Randy Smith,1108
Oneida,Sixth Judicial District,Ronald E. Bush,426
Oneida,Sixth Judicial District,Don L. Harding,556
Oneida,Sixth Judicial District,Peter D. McDermott,453
Oneida,Sixth Judicial District,N. Randy Smith,476
Power,Sixth Judicial District,Ronald E. Bush,335
Power,Sixth Judicial District,Don L. Harding,351
Power,Sixth Judicial District,Peter D. McDermott,396
Power,Sixth Judicial District,N. Randy Smith,419
Bingham,Seventh Judicial District,Gregory S. Anderson,4179
Bingham,Seventh Judicial District,DaLon Esplin,1978
Bingham,Seventh Judicial District,James C. Herndon,1086
Bingham,Seventh Judicial District,Darren B. Simpson,2032
Bingham,Seventh Judicial District,Brent J. Moss,4304
Bingham,Seventh Judicial District,Jon J. Shindurling,4431
Bingham,Seventh Judicial District,Richard T. St. Clair,4403
Bonneville,Seventh Judicial District,Gregory S. Anderson,6960
Bonneville,Seventh Judicial District,DaLon Esplin,2137
Bonneville,Seventh Judicial District,James C. Herndon,3391
Bonneville,Seventh Judicial District,Darren B. Simpson,2901
Bonneville,Seventh Judicial District,Brent J. Moss,7163
Bonneville,Seventh Judicial District,Jon J. Shindurling,7205
Bonneville,Seventh Judicial District,Richard T. St. Clair,7280
Butte,Seventh Judicial District,Gregory S. Anderson,517
Butte,Seventh Judicial District,DaLon Esplin,164
Butte,Seventh Judicial District,James C. Herndon,393
Butte,Seventh Judicial District,Darren B. Simpson,188
Butte,Seventh Judicial District,Brent J. Moss,554
Butte,Seventh Judicial District,Jon J. Shindurling,509
Butte,Seventh Judicial District,Richard T. St. Clair,526
Clark,Seventh Judicial District,Gregory S. Anderson,223
Clark,Seventh Judicial District,DaLon Esplin,62
Clark,Seventh Judicial District,James C. Herndon,148
Clark,Seventh Judicial District,Darren B. Simpson,79
Clark,Seventh Judicial District,Brent J. Moss,239
Clark,Seventh Judicial District,Jon J. Shindurling,219
Clark,Seventh Judicial District,Richard T. St. Clair,226
Custer,Seventh Judicial District,Gregory S. Anderson,745
Custer,Seventh Judicial District,DaLon Esplin,167
Custer,Seventh Judicial District,James C. Herndon,595
Custer,Seventh Judicial District,Darren B. Simpson,270
Custer,Seventh Judicial District,Brent J. Moss,757
Custer,Seventh Judicial District,Jon J. Shindurling,730
Custer,Seventh Judicial District,Richard T. St. Clair,710
Fremont,Seventh Judicial District,Gregory S. Anderson,1924
Fremont,Seventh Judicial District,DaLon Esplin,631
Fremont,Seventh Judicial District,James C. Herndon,657
Fremont,Seventh Judicial District,Darren B. Simpson,1049
Fremont,Seventh Judicial District,Brent J. Moss,2073
Fremont,Seventh Judicial District,Jon J. Shindurling,1968
Fremont,Seventh Judicial District,Richard T. St. Clair,1995
Jefferson,Seventh Judicial District,Gregory S. Anderson,2062
Jefferson,Seventh Judicial District,DaLon Esplin,858
Jefferson,Seventh Judicial District,James C. Herndon,706
Jefferson,Seventh Judicial District,Darren B. Simpson,1022
Jefferson,Seventh Judicial District,Brent J. Moss,2328
Jefferson,Seventh Judicial District,Jon J. Shindurling,2321
Jefferson,Seventh Judicial District,Richard T. St. Clair,2332
Lemhi,Seventh Judicial District,Gregory S. Anderson,806
Lemhi,Seventh Judicial District,DaLon Esplin,223
Lemhi,Seventh Judicial District,James C. Herndon,869
Lemhi,Seventh Judicial District,Darren B. Simpson,181
Lemhi,Seventh Judicial District,Brent J. Moss,834
Lemhi,Seventh Judicial District,Jon J. Shindurling,815
Lemhi,Seventh Judicial District,Richard T. St. Clair,815
Madison,Seventh Judicial District,Gregory S. Anderson,2731
Madison,Seventh Judicial District,DaLon Esplin,1359
Madison,Seventh Judicial District,James C. Herndon,742
Madison,Seventh Judicial District,Darren B. Simpson,1160
Madison,Seventh Judicial District,Brent J. Moss,2981
Madison,Seventh Judicial District,Jon J. Shindurling,2803
Madison,Seventh Judicial District,Richard T. St. Clair,2828
Teton,Seventh Judicial District,Gregory S. Anderson,956
Teton,Seventh Judicial District,DaLon Esplin,304
Teton,Seventh Judicial District,James C. Herndon,476
Teton,Seventh Judicial District,Darren B. Simpson,406
Teton,Seventh Judicial District,Brent J. Moss,1115
Teton,Seventh Judicial District,Jon J. Shindurling,930
Teton,Seventh Judicial District,Richard T. St. Clair,940
Benewah,First Judicial District,Fred M. Gibler,853
Benewah,First Judicial District,Bill Douglas,532
Benewah,First Judicial District,Charles W. Hosack,688
Benewah,First Judicial District,John Patrick Luster,875
Benewah,First Judicial District,Jack Douglas,508
Benewah,First Judicial District,Brent C. Featherston,296
Benewah,First Judicial District,Steven C. Verby,350
Benewah,First Judicial District,John T. Mitchell,896
Bonner,First Judicial District,Fred M. Gibler,3552
Bonner,First Judicial District,Bill Douglas,2099
Bonner,First Judicial District,Charles W. Hosack,2393
Bonner,First Judicial District,John Patrick Luster,3487
Bonner,First Judicial District,Jack Douglas,1151
Bonner,First Judicial District,Brent C. Featherston,1231
Bonner,First Judicial District,Steven C. Verby,2797
Bonner,First Judicial District,John T. Mitchell,3741
Boundary,First Judicial District,Fred M. Gibler,921
Boundary,First Judicial District,Bill Douglas,621
Boundary,First Judicial District,Charles W. Hosack,668
Boundary,First Judicial District,John Patrick Luster,1004
Boundary,First Judicial District,Jack Douglas,948
Boundary,First Judicial District,Brent C. Featherston,331
Boundary,First Judicial District,Steven C. Verby,390
Boundary,First Judicial District,John T. Mitchell,1019
Kootenai,First Judicial District,Fred M. Gibler,10807
Kootenai,First Judicial District,Bill Douglas,6144
Kootenai,First Judicial District,Charles W. Hosack,7872
Kootenai,First Judicial District,John Patrick Luster,10975
Kootenai,First Judicial District,Jack Douglas,4578
Kootenai,First Judicial District,Brent C. Featherston,2619
Kootenai,First Judicial District,Steven C. Verby,5262
Kootenai,First Judicial District,John T. Mitchell,11453
Shoshone,First Judicial District,Fred M. Gibler,1454
Shoshone,First Judicial District,Bill Douglas,726
Shoshone,First Judicial District,Charles W. Hosack,971
Shoshone,First Judicial District,John Patrick Luster,1381
Shoshone,First Judicial District,Jack Douglas,624
Shoshone,First Judicial District,Brent C. Featherston,389
Shoshone,First Judicial District,Steven C. Verby,658
Shoshone,First Judicial District,John T. Mitchell,1449
Clearwater,Second Judicial District,Jeff M. Brudie,1113
Clearwater,Second Judicial District,Carl B. Kerrick,1104
Clearwater,Second Judicial District,John Bradbury,865
Clearwater,Second Judicial District,Daren W. Fales,251
Clearwater,Second Judicial District,Joseph Allan Wright,348
Clearwater,Second Judicial District,John R. Stegner,1150
Idaho,Second Judicial District,Jeff M. Brudie,2429
Idaho,Second Judicial District,Carl B. Kerrick,2360
Idaho,Second Judicial District,John Bradbury,917
Idaho,Second Judicial District,Daren W. Fales,1210
Idaho,Second Judicial District,Joseph Allan Wright,1846
Idaho,Second Judicial District,John R. Stegner,2629
Latah,Second Judicial District,Jeff M. Brudie,1674
Latah,Second Judicial District,Carl B. Kerrick,1635
Latah,Second Judicial District,John Bradbury,715
Latah,Second Judicial District,Daren W. Fales,587
Latah,Second Judicial District,Joseph Allan Wright,514
Latah,Second Judicial District,John R. Stegner,1818
Lewis,Second Judicial District,Jeff M. Brudie,514
Lewis,Second Judicial District,Carl B. Kerrick,474
Lewis,Second Judicial District,John Bradbury,244
Lewis,Second Judicial District,Daren W. Fales,184
Lewis,Second Judicial District,Joseph Allan Wright,235
Lewis,Second Judicial District,John R. Stegner,516
Nez Perce,Second Judicial District,Jeff M. Brudie,2883
Nez Perce,Second Judicial District,Carl B. Kerrick,2783
Nez Perce,Second Judicial District,John Bradbury,1575
Nez Perce,Second Judicial District,Daren W. Fales,919
Nez Perce,Second Judicial District,Joseph Allan Wright,779
Nez Perce,Second Judicial District,John R. Stegner,2974
Adams,Third Judicial District,Gregory M. Culet,692
Adams,Third Judicial District,Stephen W. Drescher,698
Adams,Third Judicial District,Gary D. DeMeyer,360
Adams,Third Judicial District,Renae J. Hoff,422
Adams,Third Judicial District,James C. Morfitt,698
Canyon,Third Judicial District,Gregory M. Culet,9884
Canyon,Third Judicial District,Stephen W. Drescher,10367
Canyon,Third Judicial District,Gary D. DeMeyer,5579
Canyon,Third Judicial District,Renae J. Hoff,6442
Canyon,Third Judicial District,James C. Morfitt,10382
Gem,Third Judicial District,Gregory M. Culet,2622
Gem,Third Judicial District,Stephen W. Drescher,2652
Gem,Third Judicial District,Gary D. DeMeyer,1476
Gem,Third Judicial District,Renae J. Hoff,1523
Gem,Third Judicial District,James C. Morfitt,2637
Owyhee,Third Judicial District,Gregory M. Culet,1044
Owyhee,Third Judicial District,Stephen W. Drescher,1061
Owyhee,Third Judicial District,Gary D. DeMeyer,534
Owyhee,Third Judicial District,Renae J. Hoff,722
Owyhee,Third Judicial District,James C. Morfitt,1084
Payette,Third Judicial District,Gregory M. Culet,2137
Payette,Third Judicial District,Stephen W. Drescher,2219
Payette,Third Judicial District,Gary D. DeMeyer,1029
Payette,Third Judicial District,Renae J. Hoff,1400
Payette,Third Judicial District,James C. Morfitt,2164
Washington,Third Judicial District,Gregory M. Culet,1754
Washington,Third Judicial District,Stephen W. Drescher,1619
Washington,Third Judicial District,Gary D. DeMeyer,851
Washington,Third Judicial District,Renae J. Hoff,839
Washington,Third Judicial District,James C. Morfitt,1533
Ada,Fourth Judicial District,Deborah Bail,32700
Ada,Fourth Judicial District,Kevin S. Borger,12470
Ada,Fourth Judicial District,Mike Wetherell,24896
Ada,Fourth Judicial District,Cheri C. Copsey,22156
Ada,Fourth Judicial District,Larry M. Dunn,14689
Ada,Fourth Judicial District,Joel D. Horton,30604
Ada,Fourth Judicial District,Michael R. McLaughlin,31096
Ada,Fourth Judicial District,Thomas F. Neville,31457
Ada,Fourth Judicial District,Kathryn A. Sticklen,31252
Ada,Fourth Judicial District,Darla Sue Williamson,31567
Ada,Fourth Judicial District,Ronald J. Wilper,30946
Boise,Fourth Judicial District,Deborah Bail,870
Boise,Fourth Judicial District,Kevin S. Borger,314
Boise,Fourth Judicial District,Mike Wetherell,747
Boise,Fourth Judicial District,Cheri C. Copsey,569
Boise,Fourth Judicial District,Larry M. Dunn,494
Boise,Fourth Judicial District,Joel D. Horton,824
Boise,Fourth Judicial District,Michael R. McLaughlin,853
Boise,Fourth Judicial District,Thomas F. Neville,830
Boise,Fourth Judicial District,Kathryn A. Sticklen,842
Boise,Fourth Judicial District,Darla Sue Williamson,862
Boise,Fourth Judicial District,Ronald J. Wilper,824
Elmore,Fourth Judicial District,Deborah Bail,1962
Elmore,Fourth Judicial District,Kevin S. Borger,371
Elmore,Fourth Judicial District,Mike Wetherell,2159
Elmore,Fourth Judicial District,Cheri C. Copsey,1337
Elmore,Fourth Judicial District,Larry M. Dunn,887
Elmore,Fourth Judicial District,Joel D. Horton,1934
Elmore,Fourth Judicial District,Michael R. McLaughlin,2178
Elmore,Fourth Judicial District,Thomas F. Neville,1918
Elmore,Fourth Judicial District,Kathryn A. Sticklen,1939
Elmore,Fourth Judicial District,Darla Sue Williamson,1945
Elmore,Fourth Judicial District,Ronald J. Wilper,1915
Valley,Fourth Judicial District,Deborah Bail,1392
Valley,Fourth Judicial District,Kevin S. Borger,520
Valley,Fourth Judicial District,Mike Wetherell,1055
Valley,Fourth Judicial District,Cheri C. Copsey,945
Valley,Fourth Judicial District,Larry M. Dunn,628
Valley,Fourth Judicial District,Joel D. Horton,1369
Valley,Fourth Judicial District,Michael R. McLaughlin,1363
Valley,Fourth Judicial District,Thomas F. Neville,1366
Valley,Fourth Judicial District,Kathryn A. Sticklen,1365
Valley,Fourth Judicial District,Darla Sue Williamson,1547
Valley,Fourth Judicial District,Ronald J. Wilper,1349
Blaine,Fifth Judicial District,Roger Burdick,724
Blaine,Fifth Judicial District,Monte B. Carlson,701
Blaine,Fifth Judicial District,Nathan W. Higer,686
Blaine,Fifth Judicial District,John C. Hohnhorst,709
Blaine,Fifth Judicial District,James J. May,970
Blaine,Fifth Judicial District,John M. Melanson,706
Blaine,Fifth Judicial District,Roderick Barry Wood,711
Camas,Fifth Judicial District,Roger Burdick,142
Camas,Fifth Judicial District,Monte B. Carlson,140
Camas,Fifth Judicial District,Nathan W. Higer,137
Camas,Fifth Judicial District,John C. Hohnhorst,147
Camas,Fifth Judicial District,James J. May,141
Camas,Fifth Judicial District,John M. Melanson,135
Camas,Fifth Judicial District,Roderick Barry Wood,142
Cassia,Fifth Judicial District,Roger Burdick,2469
Cassia,Fifth Judicial District,Monte B. Carlson,2669
Cassia,Fifth Judicial District,Nathan W. Higer,2459
Cassia,Fifth Judicial District,John C. Hohnhorst,2424
Cassia,Fifth Judicial District,James J. May,2473
Cassia,Fifth Judicial District,John M. Melanson,2387
Cassia,Fifth Judicial District,Roderick Barry Wood,2425
Gooding,Fifth Judicial District,Roger Burdick,1466
Gooding,Fifth Judicial District,Monte B. Carlson,1434
Gooding,Fifth Judicial District,Nathan W. Higer,1423
Gooding,Fifth Judicial District,John C. Hohnhorst,1501
Gooding,Fifth Judicial District,James J. May,1478
Gooding,Fifth Judicial District,John M. Melanson,1417
Gooding,Fifth Judicial District,Roderick Barry Wood,1527
Jerome,Fifth Judicial District,Roger Burdick,982
Jerome,Fifth Judicial District,Monte B. Carlson,833
Jerome,Fifth Judicial District,Nathan W. Higer,769
Jerome,Fifth Judicial District,John C. Hohnhorst,914
Jerome,Fifth Judicial District,James J. May,867
Jerome,Fifth Judicial District,John M. Melanson,757
Jerome,Fifth Judicial District,Roderick Barry Wood,834
Lincoln,Fifth Judicial District,Roger Burdick,446
Lincoln,Fifth Judicial District,Monte B. Carlson,436
Lincoln,Fifth Judicial District,Nathan W. Higer,426
Lincoln,Fifth Judicial District,John C. Hohnhorst,466
Lincoln,Fifth Judicial District,James J. May,485
Lincoln,Fifth Judicial District,John M. Melanson,482
Lincoln,Fifth Judicial District,Roderick Barry Wood,500
Minidoka,Fifth Judicial District,Roger Burdick,1457
Minidoka,Fifth Judicial District,Monte B. Carlson,1580
Minidoka,Fifth Judicial District,Nathan W. Higer,1402
Minidoka,Fifth Judicial District,John C. Hohnhorst,1410
Minidoka,Fifth Judicial District,James J. May,1401
Minidoka,Fifth Judicial District,John M. Melanson,1415
Minidoka,Fifth Judicial District,Roderick Barry Wood,1432
Twin Falls,Fifth Judicial District,Roger Burdick,4917
Twin Falls,Fifth Judicial District,Monte B. Carlson,4809
Twin Falls,Fifth Judicial District,Nathan W. Higer,4388
Twin Falls,Fifth Judicial District,John C. Hohnhorst,4881
Twin Falls,Fifth Judicial District,James J. May,4967
Twin Falls,Fifth Judicial District,John M. Melanson,4424
Twin Falls,Fifth Judicial District,Roderick Barry Wood,4476
Bannock,Sixth Judicial District,Don L. Harding,8025
Bannock,Sixth Judicial District,Peter D. McDermott,8497
Bannock,Sixth Judicial District,N. Randy Smith,8294
Bannock,Sixth Judicial District,William H. Woodland,8288
Bear Lake,Sixth Judicial District,Don L. Harding,1430
Bear Lake,Sixth Judicial District,Peter D. McDermott,1235
Bear Lake,Sixth Judicial District,N. Randy Smith,1200
Bear Lake,Sixth Judicial District,William H. Woodland,1153
Caribou,Sixth Judicial District,Don L. Harding,919
Caribou,Sixth Judicial District,Peter D. McDermott,832
Caribou,Sixth Judicial District,N. Randy Smith,885
Caribou,Sixth Judicial District,William H. Woodland,814
Franklin,Sixth Judicial District,Don L. Harding,1418
Franklin,Sixth Judicial District,Peter D. McDermott,1331
Franklin,Sixth Judicial District,N. Randy Smith,1347
Franklin,Sixth Judicial District,William H. Woodland,1300
Oneida,Sixth Judicial District,Don L. Harding,395
Oneida,Sixth Judicial District,Peter D. McDermott,328
Oneida,Sixth Judicial District,N. Randy Smith,322
Oneida,Sixth Judicial District,William H. Woodland,314
Power,Sixth Judicial District,Don L. Harding,511
Power,Sixth Judicial District,Peter D. McDermott,598
Power,Sixth Judicial District,N. Randy Smith,580
Power,Sixth Judicial District,William H. Woodland,542
Bingham,Seventh Judicial District,Gregory S. Anderson,4512
Bingham,Seventh Judicial District,James C. Herndon,4578
Bingham,Seventh Judicial District,Brent J. Moss,4566
